species	feature_gadolinium_contrast	P.val_individual_gadolinium_contrast	coef_gadolinium_contrast	model_gadolinium_contrast	feature_lesion_burden	P.val_individual_lesion_burden	coef_lesion_burden	model_lesion_burden	feature_spinal_cord_lesion	P.val_individual_spinal_cord_lesion	coef_spinal_cord_lesion	model_spinal_cord_lesion	feature_subtentorial_lesions	P.val_individual_subtentorial_lesions	coef_subtentorial_lesions	model_subtentorial_lesions
Alistipes_dispar_prevalence	Alistipes_dispar	0.39439813232662	-1.07137265646653	prevalence	Alistipes_dispar	0.268565263212504	1.49893829046722	prevalence	Alistipes_dispar	0.771860935498669	0.329494553568799	prevalence	Alistipes_dispar	0.399053148860533	1.09351737615491	prevalence
Alistipes_finegoldii_abundance	Alistipes_finegoldii	0.798346291956174	-0.0238960018324007	abundance	Alistipes_finegoldii	0.651100880302453	0.393822029078332	abundance	Alistipes_finegoldii	0.903244762389917	-0.00216758271415509	abundance	Alistipes_finegoldii	0.508444321695343	0.486448359569319	abundance
Alistipes_finegoldii_prevalence	Alistipes_finegoldii	1	-5.11358687362368e-16	prevalence	Alistipes_finegoldii	1	9.20820796872243e-16	prevalence	Alistipes_finegoldii	1	-3.88511828532062e-17	prevalence	Alistipes_finegoldii	0.999999999999999	9.15667224832132e-16	prevalence
Alistipes_ihumii_abundance	Alistipes_ihumii	0.854194646173402	-0.542330690625725	abundance	Alistipes_ihumii	0.872151247919723	-0.242492293195899	abundance	Alistipes_ihumii	0.122345889615966	1.59078038891819	abundance	Alistipes_ihumii	0.219547635935957	1.24881886526361	abundance
Alistipes_ihumii_prevalence	Alistipes_ihumii	0.989769549749558	-0.014253975850937	prevalence	Alistipes_ihumii	0.408874541026146	0.876102074530842	prevalence	Alistipes_ihumii	0.730550499106959	-0.332477465242702	prevalence	Alistipes_ihumii	0.231190147784055	1.42686606569308	prevalence
Alistipes_indistinctus_abundance	Alistipes_indistinctus	0.960216119218247	-0.226221164280032	abundance	Alistipes_indistinctus	0.213935482470674	1.70693702048114	abundance	Alistipes_indistinctus	0.264863954318805	1.36907837693465	abundance	Alistipes_indistinctus	0.923439569708373	-0.262918416852258	abundance
Alistipes_indistinctus_prevalence	Alistipes_indistinctus	0.878259064596784	0.160809542182011	prevalence	Alistipes_indistinctus	0.814197136967167	0.220440320587017	prevalence	Alistipes_indistinctus	0.445731551552791	-0.695039601609587	prevalence	Alistipes_indistinctus	0.878920002826673	-0.134636131827298	prevalence
Alistipes_onderdonkii_abundance	Alistipes_onderdonkii	0.406475549637309	-1.46619707937259	abundance	Alistipes_onderdonkii	0.267027083582028	-1.45976077877286	abundance	Alistipes_onderdonkii	0.270306554469016	-1.41111585898173	abundance	Alistipes_onderdonkii	0.024113041592821	2.5448825715599	abundance
Alistipes_onderdonkii_prevalence	Alistipes_onderdonkii	NA	NA	prevalence	Alistipes_onderdonkii	NA	NA	prevalence	Alistipes_onderdonkii	NA	NA	prevalence	Alistipes_onderdonkii	NA	NA	prevalence
Alistipes_putredinis_abundance	Alistipes_putredinis	0.785494835276404	-0.70293171792686	abundance	Alistipes_putredinis	0.939222316120413	0.0508177275091244	abundance	Alistipes_putredinis	0.698070986374899	0.365136389738121	abundance	Alistipes_putredinis	0.0781697961405801	2.0643841778206	abundance
Alistipes_putredinis_prevalence	Alistipes_putredinis	NA	NA	prevalence	Alistipes_putredinis	NA	NA	prevalence	Alistipes_putredinis	NA	NA	prevalence	Alistipes_putredinis	NA	NA	prevalence
